#{"t_start": 1734366089.1383944, "env_id": "Blackjack-v1"}
r,l,t
-1.0,1,2.926193
-1.0,2,2.932419
1.0,1,2.934124
-1.0,2,2.939665
-1.0,1,2.941841
-1.0,1,2.943368
-1.0,1,2.944556
-1.0,1,2.949212
1.0,1,2.95082
-1.0,1,2.953206
1.0,2,2.961228
1.0,1,2.962303
1.0,1,2.963527
0.0,2,2.968718
-1.0,1,2.970067
-1.0,2,2.971953
1.0,2,2.976637
-1.0,1,2.978238
-1.0,3,2.984798
1.0,1,2.986445
-1.0,3,2.992697
-1.0,1,2.994254
-1.0,1,2.995608
1.0,1,3.000042
1.0,1,3.001239
1.0,2,3.00333
-1.0,2,3.008368
-1.0,1,3.015027
-1.0,1,3.016688
-1.0,1,3.021577
-1.0,1,3.023647
-1.0,2,3.025957
-1.0,1,3.030629
-1.0,1,3.031889
-1.0,1,3.03336
-1.0,3,3.04098
-1.0,1,3.042343
1.0,4,3.050668
-1.0,2,3.055598
-1.0,1,3.056763
1.0,1,3.057656
1.0,1,3.058542
-1.0,1,3.062804
1.0,1,3.064922
1.0,2,3.067332
-1.0,1,3.071574
-1.0,1,3.072917
-1.0,1,3.074527
-1.0,1,3.075805
-1.0,1,3.080216
-1.0,1,3.081377
-1.0,1,3.082753
1.0,1,3.083829
-1.0,2,3.089552
-1.0,1,3.090863
-1.0,2,3.096733
-1.0,1,3.098249
-1.0,1,3.099551
0.0,2,3.104476
1.0,2,3.10634
-1.0,1,3.107472
-1.0,1,3.111476
1.0,1,3.112687
1.0,1,3.114361
-1.0,2,3.122508
1.0,1,3.125068
-1.0,1,3.126826
-1.0,1,3.12826
-1.0,1,3.134071
-1.0,1,3.135227
-1.0,1,3.136117
-1.0,1,3.137068
-1.0,1,3.14128
-1.0,1,3.14253
-1.0,1,3.143703
1.0,1,3.145166
-1.0,1,3.149245
1.0,2,3.152294
-1.0,3,3.158433
1.0,1,3.159842
-1.0,1,3.16103
0.0,1,3.16597
-1.0,1,3.167119
-1.0,1,3.168519
-1.0,2,3.174668
-1.0,1,3.175912
-1.0,1,3.177157
-1.0,1,3.17804
-1.0,1,3.182227
-1.0,1,3.183522
-1.0,1,3.184594
-1.0,3,3.1912
-1.0,1,3.192477
-1.0,1,3.194244
-1.0,2,3.199677
-1.0,2,3.201593
1.0,2,3.207211
-1.0,1,3.208366
-1.0,1,3.209685
1.0,2,3.215422
1.0,2,3.222452
1.0,1,3.227408
1.0,2,3.230291
-1.0,1,3.231885
1.0,1,3.23728
-1.0,2,3.240091
-1.0,1,3.241341
-1.0,2,3.246819
1.0,2,3.24894
-1.0,1,3.253042
0.0,2,3.256371
-1.0,1,3.258003
1.0,1,3.262624
1.0,2,3.265773
-1.0,3,3.273049
1.0,2,3.275928
-1.0,2,3.281712
-1.0,1,3.283197
-1.0,1,3.28448
-1.0,1,3.288583
-1.0,1,3.28975
1.0,1,3.290977
-1.0,2,3.295885
0.0,1,3.297099
1.0,2,3.299651
-1.0,1,3.303456
1.0,2,3.305526
-1.0,1,3.306764
-1.0,1,3.311348
1.0,1,3.312869
-1.0,2,3.315058
1.0,2,3.320204
-1.0,1,3.321251
-1.0,3,3.334219
-1.0,1,3.335746
-1.0,1,3.337142
-1.0,2,3.342797
-1.0,1,3.344222
-1.0,3,3.351685
-1.0,1,3.352978
1.0,1,3.354047
-1.0,1,3.358803
-1.0,2,3.361399
-1.0,2,3.366908
-1.0,1,3.368379
-1.0,1,3.36951
-1.0,1,3.371175
-1.0,1,3.375941
-1.0,1,3.377073
-1.0,1,3.378189
-1.0,1,3.37904
-1.0,1,3.38348
-1.0,2,3.38553
-1.0,1,3.38709
-1.0,1,3.391391
-1.0,1,3.392875
-1.0,1,3.394274
-1.0,2,3.400776
-1.0,2,3.403024
-1.0,1,3.403937
-1.0,1,3.408093
1.0,2,3.410461
-1.0,1,3.411397
-1.0,1,3.415986
1.0,3,3.420318
-1.0,2,3.426849
-1.0,1,3.432689
-1.0,1,3.433939
-1.0,2,3.440167
-1.0,1,3.442022
1.0,1,3.443579
1.0,1,3.448064
-1.0,1,3.449329
-1.0,1,3.450562
1.0,1,3.451939
-1.0,1,3.456594
1.0,1,3.457953
-1.0,1,3.459157
-1.0,1,3.46096
1.0,2,3.466369
-1.0,1,3.468155
-1.0,1,3.470242
-1.0,2,3.475877
1.0,1,3.477111
-1.0,1,3.47852
-1.0,1,3.482646
-1.0,1,3.483866
-1.0,1,3.484858
1.0,1,3.48588
1.0,1,3.489987
-1.0,1,3.491377
-1.0,1,3.492526
-1.0,1,3.493771
-1.0,1,3.500451
1.0,1,3.502597
0.0,1,3.503537
-1.0,1,3.504591
0.0,1,3.514894
0.0,3,3.522196
-1.0,1,3.52832
1.0,2,3.530887
-1.0,1,3.535686
-1.0,2,3.542489
-1.0,3,3.549044
-1.0,1,3.550287
0.0,1,3.552984
-1.0,1,3.55427
1.0,3,3.561361
-1.0,2,3.566537
-1.0,1,3.567955
-1.0,2,3.570786
-1.0,1,3.575416
-1.0,1,3.576848
1.0,2,3.579366
-1.0,1,3.583443
-1.0,1,3.584952
1.0,2,3.587576
1.0,3,3.594073
-1.0,1,3.595225
-1.0,1,3.599655
-1.0,1,3.601123
-1.0,1,3.602371
1.0,1,3.603925
1.0,1,3.608347
0.0,2,3.611726
-1.0,2,3.617285
-1.0,1,3.619482
1.0,1,3.620729
1.0,1,3.622083
-1.0,1,3.626226
-1.0,1,3.627357
-1.0,1,3.628882
-1.0,1,3.630169
-1.0,1,3.634377
-1.0,1,3.641008
-1.0,2,3.643863
1.0,1,3.648767
-1.0,1,3.650172
-1.0,1,3.65153
-1.0,1,3.653404
-1.0,2,3.664489
-1.0,1,3.666832
-1.0,2,3.674581
-1.0,1,3.676051
-1.0,1,3.677308
-1.0,2,3.683437
0.0,1,3.684841
-1.0,2,3.68733
-1.0,1,3.691569
-1.0,1,3.692675
0.0,1,3.693459
-1.0,1,3.694684
-1.0,2,3.700564
-1.0,1,3.701621
-1.0,2,3.706931
-1.0,1,3.708179
-1.0,1,3.709224
1.0,1,3.710615
-1.0,1,3.71469
1.0,1,3.716005
-1.0,1,3.717408
-1.0,1,3.718677
1.0,3,3.725211
-1.0,1,3.726384
1.0,1,3.73069
1.0,1,3.73202
-1.0,1,3.733212
1.0,1,3.734513
-1.0,1,3.73867
1.0,1,3.739681
-1.0,2,3.745636
-1.0,1,3.750082
-1.0,1,3.752211
-1.0,3,3.759673
1.0,2,3.762507
-1.0,1,3.764576
-1.0,1,3.769073
-1.0,1,3.770282
-1.0,1,3.772324
-1.0,1,3.774697
-1.0,1,3.783332
-1.0,1,3.785487
-1.0,1,3.791562
-1.0,1,3.79327
1.0,1,3.798396
1.0,1,3.799709
-1.0,1,3.801134
-1.0,1,3.803003
-1.0,1,3.808034
1.0,1,3.809321
1.0,1,3.811362
-1.0,2,3.817232
1.0,1,3.818741
0.0,3,3.82587
1.0,1,3.827211
-1.0,3,3.834354
-1.0,2,3.837022
-1.0,2,3.842703
-1.0,3,3.849101
-1.0,1,3.85319
-1.0,1,3.85453
1.0,1,3.855748
1.0,1,3.857083
-1.0,1,3.861566
-1.0,1,3.863864
-1.0,1,3.866047
-1.0,1,3.86783
-1.0,1,3.874983
-1.0,2,3.877779
-1.0,1,3.880088
-1.0,2,3.885992
-1.0,1,3.887321
-1.0,2,3.892998
0.0,2,3.895468
1.0,1,3.897231
-1.0,2,3.902862
-1.0,2,3.906118
1.0,1,3.910556
-1.0,1,3.91174
1.0,2,3.914248
1.0,1,3.919089
1.0,1,3.92129
-1.0,2,3.924678
1.0,3,3.932286
-1.0,1,3.933661
1.0,1,3.938007
-1.0,2,3.941035
-1.0,1,3.943175
1.0,1,3.952518
-1.0,1,3.954081
0.0,2,3.95684
1.0,1,3.96143
1.0,1,3.962831
-1.0,3,3.969912
-1.0,1,3.971121
1.0,1,3.972641
1.0,1,3.97407
-1.0,1,3.985983
-1.0,1,3.987405
0.0,2,3.990143
-1.0,1,3.994801
-1.0,2,3.996683
-1.0,2,4.010244
1.0,1,4.01178
-1.0,1,4.013425
1.0,3,4.021343
-1.0,3,4.028625
1.0,3,4.032902
1.0,1,4.03706
-1.0,1,4.03845
-1.0,2,4.041052
-1.0,2,4.048276
0.0,2,4.050741
-1.0,1,4.058749
-1.0,1,4.059886
-1.0,1,4.060831
1.0,1,4.062037
-1.0,1,4.066181
1.0,2,4.070676
-1.0,1,4.071954
-1.0,3,4.081949
1.0,1,4.085244
1.0,1,4.089382
-1.0,1,4.090779
-1.0,2,4.093111
0.0,1,4.097885
-1.0,1,4.099827
-1.0,1,4.101121
1.0,1,4.102707
-1.0,1,4.107185
-1.0,4,4.115593
1.0,2,4.11851
1.0,1,4.11992
-1.0,2,4.125823
-1.0,1,4.127586
-1.0,2,4.133553
1.0,2,4.13611
1.0,1,4.137412
1.0,1,4.141863
1.0,2,4.144761
1.0,1,4.1458
1.0,1,4.150612
-1.0,1,4.151874
-1.0,2,4.154993
-1.0,1,4.163154
-1.0,2,4.165966
-1.0,2,4.172659
0.0,1,4.173987
-1.0,2,4.176599
-1.0,1,4.180587
1.0,1,4.182389
-1.0,2,4.18458
-1.0,2,4.189426
-1.0,1,4.190672
-1.0,1,4.191948
0.0,2,4.19839
-1.0,1,4.200128
1.0,1,4.201793
-1.0,1,4.207047
-1.0,2,4.209355
-1.0,2,4.215559
-1.0,1,4.217588
1.0,2,4.221437
-1.0,1,4.22614
1.0,2,4.229259
-1.0,1,4.230642
-1.0,2,4.235861
-1.0,1,4.237315
-1.0,2,4.243787
-1.0,2,4.246058
-1.0,3,4.253516
-1.0,1,4.254906
-1.0,1,4.256439
-1.0,3,4.267598
-1.0,1,4.269239
-1.0,1,4.274219
-1.0,1,4.275863
-1.0,2,4.278943
1.0,1,4.285995
-1.0,1,4.287213
-1.0,1,4.28824
-1.0,1,4.28938
1.0,1,4.293411
-1.0,2,4.29572
-1.0,1,4.296592
-1.0,2,4.301881
-1.0,2,4.303644
-1.0,1,4.308146
-1.0,1,4.30957
1.0,1,4.310911
1.0,1,4.312419
